all_ct
0	0	0
255	255	255
510	510	510
765	765	765
1020	1020	1020
1275	1275	1275
1530	1530	1530
1785	1785	1785
2040	2040	2040
2295	2295	2295
2550	2550	2550
2805	2805	2805
3060	3060	3060
3315	3315	3315
3570	3570	3570
3825	3825	3825
4080	4080	4080
4335	4335	4335
4590	4590	4590
4845	4845	4845
5100	5100	5100
5355	5355	5355
5610	5610	5610
5865	5865	5865
6120	6120	6120
6375	6375	6375
6630	6630	6630
6885	6885	6885
7140	7140	7140
7395	7395	7395
7650	7650	7650
7905	7905	7905
8160	8160	8160
8415	8415	8415
8670	8670	8670
8925	8925	8925
9180	9180	9180
9435	9435	9435
9690	9690	9690
9945	9945	9945
10200	10200	10200
10455	10455	10455
10710	10710	10710
10965	10965	10965
11220	11220	11220
11475	11475	11475
11730	11730	11730
11985	11985	11985
12240	12240	12240
12495	12495	12495
12750	12750	12750
13005	13005	13005
13260	13260	13260
13515	13515	13515
13770	13770	13770
14025	14025	14025
14280	14280	14280
14535	14535	14535
14790	14790	14790
15045	15045	15045
15300	15300	15300
15555	15555	15555
15810	15810	15810
16065	16065	16065
16320	16320	16320
16575	16575	16575
16830	16830	16830
17085	17085	17085
17340	17340	17340
17595	17595	17595
17850	17850	17850
18105	18105	18105
18360	18360	18360
18615	18615	18615
18870	18870	18870
19125	19125	19125
19380	19380	19380
19635	19635	19635
19890	19890	19890
20145	20145	20145
20400	20400	20400
20655	20655	20655
20910	20910	20910
21165	21165	21165
21420	21420	21420
21675	21675	21675
21930	21930	21930
22185	22185	22185
22440	22440	22440
22695	22695	22695
22950	22950	22950
23205	23205	23205
23460	23460	23460
23715	23715	23715
23970	23970	23970
24225	24225	24225
24480	24480	24480
24735	24735	24735
24990	24990	24990
25245	25245	25245
25500	25500	25500
25755	25755	25755
26010	26010	26010
26265	26265	26265
26520	26520	26520
26775	26775	26775
27030	27030	27030
27285	27285	27285
27540	27540	27540
27795	27795	27795
28050	28050	28050
28305	28305	28305
28560	28560	28560
28815	28815	28815
29070	29070	29070
29325	29325	29325
29580	29580	29580
29835	29835	29835
30090	30090	30090
30345	30345	30345
30600	30600	30600
30855	30855	30855
31110	31110	31110
31365	31365	31365
31620	31620	31620
31875	31875	31875
32130	32130	32130
32385	32385	32385
32640	32640	32640
32895	32895	32895
33150	33150	33150
33405	33405	33405
33660	33660	33660
33915	33915	33915
34170	34170	34170
34425	34425	34425
34680	34680	34680
34935	34935	34935
35190	35190	35190
35445	35445	35445
35700	35700	35700
35955	35955	35955
36210	36210	36210
36465	36465	36465
36720	36720	36720
36975	36975	36975
37230	37230	37230
37485	37485	37485
37740	37740	37740
37995	37995	37995
38250	38250	38250
38505	38505	38505
38760	38760	38760
39015	39015	39015
39270	39270	39270
39525	39525	39525
39780	39780	39780
40035	40035	40035
40290	40290	40290
40545	40545	40545
40800	40800	40800
41055	41055	41055
41310	41310	41310
41565	41565	41565
41820	41820	41820
42075	42075	42075
42330	42330	42330
42585	42585	42585
42840	42840	42840
43095	43095	43095
43350	43350	43350
43605	43605	43605
43860	43860	43860
44115	44115	44115
44370	44370	44370
44625	44625	44625
44880	44880	44880
45135	45135	45135
45390	45390	45390
45645	45645	45645
45900	45900	45900
46155	46155	46155
46410	46410	46410
46665	46665	46665
46920	46920	46920
47175	47175	47175
47430	47430	47430
47685	47685	47685
47940	47940	47940
48195	48195	48195
48450	48450	48450
48705	48705	48705
48960	48960	48960
49215	49215	49215
49470	49470	49470
49725	49725	49725
49980	49980	49980
50235	50235	50235
50490	50490	50490
50745	50745	50745
51000	51000	51000
51255	51255	51255
51510	51510	51510
51765	51765	51765
52020	52020	52020
52275	52275	52275
52530	52530	52530
52785	52785	52785
53040	53040	53040
53295	53295	53295
53550	53550	53550
53805	53805	53805
